rank,short,long,sharpe,cagr,total_return,max_drawdown
1,3,40,0.50249876618758,0.0033854835125308735,0.013502109704641408,0.0
2,5,40,0.50249876618758,0.0033854835125308735,0.013502109704641408,0.0
3,7,40,0.50249876618758,0.0033854835125308735,0.013502109704641408,0.0
4,9,40,0.50249876618758,0.0033854835125308735,0.013502109704641408,0.0
5,3,20,0.5024987661875799,0.0035551489994216645,0.01418234442836474,0.0
6,3,30,0.5024987661875799,0.0034691167300384684,0.013837375178316689,0.0
7,3,60,0.5024987661875799,0.0032250237143249816,0.012859097127222958,0.0
8,3,80,0.5024987661875799,0.003073040143943384,0.012250332889480705,0.0
9,5,20,0.5024987661875799,0.0035551489994216645,0.01418234442836474,0.0
10,5,30,0.5024987661875799,0.0034691167300384684,0.013837375178316689,0.0
